name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
MarketCap,"3,296,938,309","3,092,466,528","2,158,340,700","2,850,717,333","3,925,043,297","4,878,902,132","6,418,596,964","6,778,008,059","4,249,441,342","5,780,534,636","7,486,743,267","9,921,498,243","8,522,611,335"
EnterpriseValue,"10,261,938,309","10,074,466,528","9,164,340,700","8,347,717,333","9,418,043,297","10,538,902,132","9,304,596,964","10,135,008,059","7,825,441,342","10,178,334,636","11,474,743,267","12,272,498,243","10,607,611,335"
PeRatio,"2.186","66.667","2.549",,,,"48.227",,,,"2.892","38.367","17.086"
ForwardPeRatio,"13.175","9.191","9.833","13.605","21.739","18.762","18.832","25.907","22.624","40.161","15.291","19.763","12.469"
PegRatio,"0.925","0.415",,,"0.792",,"0.326","0.763",,,"0.471","1.436","2.061"
PsRatio,"0.582","0.558","0.277","0.662","0.927","1.134","1.534","1.543","0.841","0.836","1.338","1.969","1.803"
PbRatio,"0.934","0.849","0.61","1.45","1.906","2.246","2.201","2.293","1.262","3.625","2.265","5.181","4.211"
EnterprisesValueRevenueRatio,"1.813","1.78","1.63","1.959","2.475","2.431","2.358","2.575","1.936","1.549","1.797","2.796","2.565"
EnterprisesValueEBITDARatio,"4.87","4.781","4.243","3.528","6.554","5.746","7.303","7.441","5.792","6.12","2.484","8.377","5.877"
