name,ttm,12/31/2023,12/31/2022
MarketCap,"3,123,302,790","1,050,971,230","597,069,706"
EnterpriseValue,"2,965,131,790","994,815,230","561,970,706"
ForwardPeRatio,"95.238",,
PsRatio,"8.581",,
PbRatio,"9.195",,
EnterprisesValueRevenueRatio,"8.647",,
