name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994
MarketCap,"847,221,344","820,198,566","820,570,674","1,046,380,973","1,061,756,564","1,249,822,656","1,155,565,809","1,499,077,347","2,097,958,438","2,476,187,091","2,131,730,745","1,999,959,548","1,494,524,914","1,185,475,483","1,800,566,234","836,293,573","193,968,214","275,685,364","151,473,758","283,907,606","325,398,006","310,876,905","133,212,398","64,436,210","82,847,913","814,625,250","932,241,750","647,130,000","432,233,000","320,433,750","119,739,500"
EnterpriseValue,"1,023,076,344","962,947,566","962,606,674","1,086,123,973","1,054,544,564","1,165,377,656","1,039,575,809","1,367,215,347","1,907,660,438","2,381,104,091","2,110,775,745","1,979,004,548","1,484,188,914","1,206,215,483","1,787,676,234","866,212,573","346,951,214","418,784,364","285,253,758","409,623,606","456,434,006","452,828,905","305,219,398","267,691,210","349,450,913","1,014,225,250","1,088,641,750","749,330,000","497,933,000","338,133,750","138,139,500"
PeRatio,"34.783","33.378",,,,"40.86","45.878","257.222","51.475","46.763","46.818","68.558","36.852","19.295","18.589","147.889",,,,"25.214","34.371","791","80.8",,"3.667","32.982","351.389","32.353","30.392",,
ForwardPeRatio,"17.391","17.986","19.305","26.81",,,,,,,"23.585","29.24","25.641","16.584","25.317",,,,,,,,,,,,,,,,
PegRatio,"0.87","0.899","0.965","1.341",,,,,,,"0.679","0.842","0.739","0.53","1.014",,,,,,,,,,,,,,,,
PsRatio,"2.354","2.141","2.717","5.214","5.256","3.312","3.072","4.225","5.581","7.058","7.328","7.709","5.372","5.229","7.529","4.238","1.78","2.473","1.182","1.979","2.393","2.607","1.028","0.527","0.321","4.078","4.923","4.225","3.606","4.583",
PbRatio,"3.102","2.857","2.904","3.106","2.662","2.37","2.153","2.878","3.659","6.088","6.09","7.031","5.905","6.578","11.363","18.58",,,,,,,,,"0.706","7.332","11.046","7.979","7.887","5.612","2.259"
EnterprisesValueRevenueRatio,"2.729","2.569","3.2","4.261","7.697","2.945","2.777","3.591","5.056","6.37","7.265","6.873","5.249","5.131","7.191","5.059","3.378","3.767","2.329","3.179","3.557","3.797","2.364","2.256","2.019","5.26","5.718","4.728","4.355","4.181","1.993"
EnterprisesValueEBITDARatio,"9.057","8.525","18.242","14.645","-15.193","8.259","10","13.844","17.973","18.101","22.935","19.34","16.173","22.259","24.975","22.577","150.391","65.836","13.129","10.355","11.714","15.804","9.429","4.069","6.418","12.731","20.197","11.856","13.841","16.831","12.225"
