name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009
MarketCap,"10,744,793,515","8,770,167,783","5,442,104,343","2,668,144,000","4,225,300,000","9,585,824,000","8,820,790,000","14,564,819,270","7,727,100,660","6,004,844,937","6,831,434,618","9,957,351,834","12,709,936,411","9,707,023,810","8,630,288,036","7,657,157,984"
EnterpriseValue,"11,751,893,515","10,215,067,783","6,942,004,343","4,166,644,000","4,562,700,000","9,957,324,000","7,302,990,000","11,309,319,270","5,680,901,594","4,541,183,308","5,884,195,760","10,031,568,844","12,467,653,236","8,730,493,143","6,935,647,792","5,013,453,474"
PeRatio,"204.833",,,"6.652",,,"48.95",,"13.466","577.063","11.649","14.145",,"16.435","15.867","31.627"
ForwardPeRatio,"21.598","17.331","21.053","19.96","12.61","13.661","14.97","21.413","22.371","9.671","7.994","14.065",,,,
PegRatio,,,,"0.455","1.006","0.726","1.28","1.501","2.114","1.586","0.758","1.238",,,,
PsRatio,"1.421","1.22","0.844","0.206","0.315","0.741","0.705","0.892","0.759","0.483","0.552","0.889",,"1.198","1.092","0.835"
PbRatio,"3.426","2.858","1.713","0.763","1.009","0.951","0.689","1.061","1.43","1.217","1.226","1.813",,"2.135","2.041","1.989"
EnterprisesValueRevenueRatio,"1.502","1.306","1.036","0.651","0.699","1.433","0.582","0.751","0.618","0.396","0.48","0.821","1.149","0.989","0.857","0.542"
EnterprisesValueEBITDARatio,"16.632","14.457","11.871","5.625","-1.545","-5.058","-16.036","6.461","5.88","7.117","5.09","6.947","9.461","7.292","4.458","3.08"
