name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2005,01/31/2004,01/31/2003
MarketCap,"1,653,658,413","1,862,691,220","2,483,389,880","3,398,610,630","4,853,301,578","3,754,804,000","3,160,157,210","2,665,153,000","2,331,349,650","2,279,110,849","3,240,932,003","2,435,811,200","1,357,340,400","1,102,410,960","1,278,086,940","595,536,900","211,419,000","601,731,000","1,063,768,352","1,204,053,392","740,428,807","440,631,984"
EnterpriseValue,"2,348,266,413","2,530,608,220","3,101,012,880","3,976,714,630","5,289,441,578","4,207,326,000","3,532,643,210","3,112,082,000","2,767,269,650","2,655,264,849","3,742,813,003","2,703,415,200","2,043,438,400","1,834,669,960","1,691,414,940","1,055,264,900","1,031,849,000","1,422,161,000","888,048,352","985,307,392","521,194,807","352,775,984"
PeRatio,"27.947","989.667",,"150.971","388.579","76.316","55.598",,,"507.64","61.356","40.571","45.067","50.5","111.161","305",,,,"65.741","43.929","43.3"
ForwardPeRatio,"8.818","10.46","13.928","20.325","21.322","14.493","13.812","13.831","13.831","10.493","14.205","16.42","15.06","10.526","13.928",,,,,,,
PegRatio,"0.882","1.046","1.548","1.848","1.524","1.143","1.225","1.383","1.785","1.236","1.264","1.982","1.005","0.526","0.795",,,,,,,
PsRatio,"1.819","2.181","2.757","2.593","3.871","3.02","2.595","2.365","2.239","1.978","2.86","2.602","1.649","1.427","1.763","0.831","0.392","1.115","2.882","5.019","3.781","2.785"
PbRatio,"1.881","2.321","2.979","3.532","3.877","2.847","2.634","2.513","2.366","2.143","3.216","4.136",,,"16.727","466.944","7.218","20.538","5.383","4.249","3.106","4.582"
EnterprisesValueRevenueRatio,"2.55","2.871","3.445","3.038","4.185","3.25","2.9","2.798","2.643","2.287","3.49","3.07","2.484","2.344","2.327","1.462","1.93","2.661","2.408","3.944","2.854","2.236"
EnterprisesValueEBITDARatio,"16.031","18.001","28.971","22.399","27.674","21.12","17.324","22.396","21.06","15.583","26.567","17.119","13.825","13.946","14.411","9.438","30.85","-16.505","-48.955","29.464","34.482","18.13"
