name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
MarketCap,"1,639,305,061","1,520,013,759","1,610,118,327","1,894,648,547","1,628,317,520","1,559,910,413","1,289,936,339","1,383,530,149","1,210,205,713"
PeRatio,"11.447","4.577",,"2.634",,"16.459","3.493","7.648",
PsRatio,"11.078","4.948",,"2.649",,"16.687","3.957","7.51",
PbRatio,"1.045","0.959","1.13","1.194","1.373","1.039","0.816","1.219",
EnterprisesValueRevenueRatio,"12.824","5.944",,"3.269",,"21.182","5.24","9.814",
