name,ttm,12/31/2022,12/31/2021
MarketCap,"4,705,021,382","1,427,617,163","2,146,184,849"
EnterpriseValue,"6,318,021,382","1,544,617,163","2,111,969,849"
PeRatio,"5.942","2.793","2,867.411"
PsRatio,"0.674","0.168","0.662"
PbRatio,"0.787","2.415","1.688"
EnterprisesValueRevenueRatio,"0.9","0.303","0.292"
