name,ttm
MarketCap,"1,149,169,253"
EnterpriseValue,"1,305,586,297"
PeRatio,"63.32"
PsRatio,"0.579"
PbRatio,"14.07"
EnterprisesValueRevenueRatio,"0.673"
EnterprisesValueEBITDARatio,"43.162"
