name,ttm,12/31/2023,12/31/2022,12/31/2021
MarketCap,"1,450,005,356","1,507,863,230","767,217,612","1,141,132,737"
EnterpriseValue,"1,237,842,356","1,308,581,230","559,892,612","878,950,737"
PsRatio,"5.283","5.8","3.346","6.181"
PbRatio,"6.885","7.535","3.272","4.621"
EnterprisesValueRevenueRatio,"4.554","4.814","2.41","4.58"
EnterprisesValueEBITDARatio,"-116.077","-122.71","-18.591","-16.821"
