name,ttm,08/31/2024,08/31/2023,08/31/2022,08/31/2021,08/31/2020,08/31/2019,08/31/2018,08/31/2017,08/31/2016,08/31/2015,08/31/2014,08/31/2013,08/31/2012,08/31/2011,08/31/2010,08/31/2009,08/31/2008,08/31/2007,08/31/2006,08/31/2005,08/31/2004,08/31/2003,08/31/2002,08/31/2001,08/31/2000,08/31/1999,08/31/1998,08/31/1997,08/31/1996,08/31/1995,08/31/1994,08/31/1993,08/31/1992,08/31/1991,08/31/1990,08/31/1989,08/31/1988,08/31/1987,08/31/1986,08/31/1985
MarketCap,"110,592,705,970","106,714,889,214","76,794,120,000","62,360,792,955","82,968,037,372","50,561,540,460","50,068,620,000","60,975,720,000","35,550,640,000","17,123,060,054","17,779,178,655","34,979,800,000","14,172,508,000","6,319,917,000","5,933,526,728","6,420,856,380","6,241,245,070","3,227,064,000","8,677,955,000","12,949,632,000","7,338,942,000","7,038,365,000","8,758,164,000","10,400,025,000","22,505,824,000","46,305,862,500","18,516,834,800","4,857,125,000","9,402,850,000","4,750,200,000","15,870,104,932","4,101,475,000","2,140,294,800","584,642,300","527,653,500","332,074,800","527,769,500","562,967,250","309,662,400","214,864,650","141,305,000"
EnterpriseValue,"117,377,705,970","112,202,889,214","80,290,120,000","59,725,792,955","81,847,037,372","49,129,540,460","48,289,620,000","61,253,720,000","42,891,640,000","21,773,060,054","20,518,178,655","37,915,800,000","15,244,508,000","7,022,917,000","5,774,526,728","5,867,856,380","7,854,245,070","4,064,064,000","8,471,955,000","10,441,632,000","7,215,742,000","6,905,865,000","8,850,864,000","9,658,725,000","21,358,724,000","44,821,062,500","18,542,534,800","5,072,425,000","9,276,450,000","4,819,400,000","15,470,204,932","4,177,575,000","2,172,594,800","637,742,300","612,453,500","402,274,800","567,369,500","422,267,250","331,862,400","238,664,650","145,605,000"
PeRatio,"28.441",,,"6.446","20.359","22.755","5.289","5.257","14.466","51.531","5.452","10.124",,,"34.765","3.491",,,,"30.316","41.069","47.958",,,,"31.885",,,"34.231","5.774","19.712","10.592","20.529","76.25",,"45","4.957","5.189",,,"12.292"
ForwardPeRatio,"13.263","11.173","588.235","6.64","6.878","9.017","14.599","4.38","5.28","24.272","7.023","10.02","8.881","10.428","8.032",,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,"0.252",,,"0.856","0.267","6.443",,,"0.048",,"0.96","0.689","0.592","0.869","0.698",,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"3.833","4.963","4.217","1.973","3.292","2.54","1.955","2.285","2.051","1.364","1.161","2.59","1.684","0.748","0.678","0.8","1.229","0.562","1.548","2.376","1.713","1.687","2.95","4.458","5.661","6.736","5.186","1.603","2.934","1.249","5.629","2.6","2.58","0.994","1.294","0.996","1.178","1.692","3.013","5.533","1.308"
PbRatio,"2.363","2.413","1.691","1.265","1.963","1.337","1.417","2.128","2.198","1.405","1.427","3.519","1.934","0.821","0.701","0.801","1.26","0.496","1.119","1.596","1.255","1.254","1.722","1.509","3.154","7.199","4.671","1.804","3.371","1.918","8.369","3.909","3.347","1.144","1.09","0.686","1.107","1.955","4.265","2.333","1.582"
EnterprisesValueRevenueRatio,"4.034","5.25","4.418","1.844","3.211","2.426","1.79","2.181","2.465","1.703","1.22","4.179","1.861","0.853","0.657","0.692","1.635","0.697","1.489","1.981","1.479","1.568","3","4.161","5.427","6.11","4.926","1.684","2.837","1.211","5.239","2.565","2.623","1.26","1.505","1.207","1.271","1.405","3.639","6.8","1.36"
EnterprisesValueEBITDARatio,"9.036","17.109","14.985","3.318","7.612","5.995","2.986","3.549","6.304","6.013","3.382","11.42","10.385","4.485","2.077","1.43","16.711","6.431","5.815","6.406","4.874","4.78","66.749","63.502","332.173","13.633","23.286","44.889","12.219","2.817","10.549","5.214","7.13","5.368","6.952","4.9","3.005","2.926","80.942","-33.148","2.55"
