name,ttm,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016
MarketCap,"5,993,597,926","3,643,917,931","2,150,080,680","1,846,986,130","2,112,885,000","956,148,400","863,456,776","719,412,640","581,548,200","493,258,500"
EnterpriseValue,"6,089,745,926","3,771,929,931","2,411,893,680","2,061,718,130","2,350,102,000","927,302,400","860,432,776","733,031,640","606,228,200","543,031,500"
PeRatio,"48.493","37.657","24.677","33.312","45.918","21.909","20.833","37.857","57.344","16.959"
ForwardPeRatio,"36.364","28.818",,"23.31","26.882",,,,,
PegRatio,"2.427","1.921",,,,,,,,
PsRatio,"6.655","4.695","2.95","3.168","5.259","2.604","2.622","1.974","1.831","1.596"
PbRatio,"5.818","6.179","4.311","4.026","5.247","3.263","3.394","2.746","2.165","1.929"
EnterprisesValueRevenueRatio,"7.25","4.85","3.279","3.515","6.115","2.448","2.515","2.043","1.919","1.765"
EnterprisesValueEBITDARatio,"29.065","20.297","14.854","17.465","32.207","11.022","12.3","13.692","13.631","8.618"
