name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
MarketCap,"27,289,701,683","24,594,658,671","30,920,518,604","34,336,076,701","27,712,538,067","38,104,761,544","33,130,132,109","44,700,475,146","32,622,874,996","52,009,776,824","39,078,161,982","34,583,524,146","31,834,599,881","18,176,601,746","35,250,635,524","26,613,872,446","29,927,379,719","101,793,727,929"
PeRatio,"5.258","4.54","9.901","11.042","25.911","14.884","35.527",,,,,,,,,,,"8.091"
ForwardPeRatio,"6.485","5.79","6.725","8.299","14.225","10.672","7.937","11.779","15.385","16.234","26.882","26.455","19.455",,,,,
PegRatio,"0.549","0.541","0.629",,,"0.663","0.238",,,,,,,,,,,
PsRatio,"1.604","1.38","2.252","2.436","1.964","2.282","2.12","2.598","2.211","2.907","2.468","1.934","2.12","0.723","1.343","0.4","0.962","1.843"
PbRatio,"0.605","0.55","0.741","0.609","0.466","0.673","0.554","0.698","0.496","0.605","0.399","0.315","0.297","0.158","0.311","0.211","0.347","0.968"
