name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
MarketCap,"3,713,861,672","3,212,750,977","2,650,901,669","4,464,817,731","4,045,955,095","6,192,938,507","5,227,133,938","6,176,969,067","5,920,200,000"
EnterpriseValue,"7,709,861,672","7,201,750,977","6,592,901,669","8,594,817,731","8,281,955,095","10,255,938,507","7,776,133,938","8,834,969,067","8,647,200,000"
PeRatio,"40.091",,"45.346",,,"22.111","11.496","2.399","32.175"
ForwardPeRatio,"13.569","10.627","12.674","60.976",,"11.223","10.905","20.121",
PegRatio,"0.228","0.161",,,,"1.793",,,
PsRatio,"1.406","1.234","1.19","4.351","2.624","1.933","1.967","2.226","2.167"
PbRatio,"0.974","0.806","0.605","0.989","0.793","0.953","0.905","1.018","1.446"
EnterprisesValueRevenueRatio,"2.858","2.669","2.636","6.31","9.721","3.606","2.841","3.166","3.171"
EnterprisesValueEBITDARatio,"11.288","10.544","9.569","96.571","-8.82","13.584","8.602","12.676","12.318"
