name,ttm,12/31/2023,12/31/2022
MarketCap,"7,131,670,967","5,220,680,256","2,818,792,148"
EnterpriseValue,"8,049,621,967","6,322,147,256","3,982,956,148"
PeRatio,"26.512","24.196","13.593"
ForwardPeRatio,"21.552","18.018","11.013"
PegRatio,"1.527","1.527",
PsRatio,"2.608","1.932","1.104"
PbRatio,"3.882","3.48","2.332"
EnterprisesValueRevenueRatio,"2.917","2.299","1.56"
EnterprisesValueEBITDARatio,"15.49","13.237","9.583"
