name,ttm,12/31/2023,12/31/2022
MarketCap,"5,235,404,652","5,772,850,270","376,908,360"
EnterpriseValue,"3,744,404,652","5,611,850,270","-422,091,640"
PeRatio,"17.144",,"0.537"
ForwardPeRatio,,,"5.333"
PsRatio,"0.97","1.727","0.121"
PbRatio,"1.205","2.45","1.51"
EnterprisesValueRevenueRatio,"0.68","1.679","-0.186"
