name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
MarketCap,"11,091,611,002","7,526,301,736","4,448,721,893","8,885,124,600","8,580,912,960","2,627,988,450","866,678,680","483,383,121","613,400,398","543,736,800"
EnterpriseValue,"10,654,627,002","7,032,123,736","4,343,658,893","8,246,869,600","8,049,191,960","2,546,754,450","824,671,680","460,454,121","479,834,398","342,431,800"
PsRatio,"9.757","7.05","4.97","14.597","21.652","7.761","3.21","2.304","2.687","2.88"
PbRatio,"14.493","9.546","12.359","11.706","16.009","31.029","15.32","16.095","4.395","2.639"
EnterprisesValueRevenueRatio,"9.842","6.496","5.296","13.185","20.586","8.424","3.201","2.197","2.258","1.799"
EnterprisesValueEBITDARatio,"-26.784","-17.678","-8.34","-18.264","-39.083","-24.393","-7.698","-3.66","-5.133","-5.592"
