name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003
MarketCap,"2,820,145,047","3,103,561,554","3,009,421,415","3,049,764,263","3,002,991,775","2,857,673,556","2,564,754,273","4,411,799,850","3,607,440,289","2,267,083,541","2,484,782,930","2,552,462,214","1,825,410,090","1,146,760,612","788,655,700","501,436,555","412,643,613","480,063,640","516,499,298","574,884,996","528,099,827","353,694,981"
PeRatio,"16.794","8.757","18.906","13.242","41.901","9.186","9.731","23.031","27.606","16.473","19.685","22.135","14.89","18.779","21.34","25.382","15.011","15.466","18.073","23.313","28.827","24.133"
ForwardPeRatio,"15.129","16.447","13.908","17.731","15.873","10.515","7.651","17.637","20.921","13.405","17.094","18.018","13.263","13.928","16.34",,,,,,,
PegRatio,,,,,,,"1.093","1.469","1.742","1.118","1.426","1.501","1.105","1.465","1.324",,,,,,,
PsRatio,"2.687","2.88","3.331","3.402","2.997","2.752","2.709","5.594","5.483","3.864","4.663","5.707","4.287","3.737","2.909","2.108","2.151","3.044","3.601","5.258","6.38","4.949"
PbRatio,"0.973","1.099","1.138","1.071","1.133","1.096","1.127","2.197","2.463","1.574","2.165","2.785","2.183","1.961","1.493","1.042","1.066","1.627","2.154","2.708","2.81","2.101"
