name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
MarketCap,"1,733,140,264","1,710,840,380","2,632,457,546","2,815,615,908","3,067,822,072","3,654,767,763","3,489,309,013","2,967,876,536","2,310,474,104"
EnterpriseValue,"3,171,740,264","3,168,040,380","3,762,457,546","3,872,215,908","4,223,122,072","4,952,367,763","4,180,709,013","3,351,076,536","2,801,874,104"
PeRatio,,"13.608","12.145","21.596","17.571","20.368","21.187","31.887","71.081"
ForwardPeRatio,"14.389","11.547","10.152","12.788","15.385",,"18.116","22.523","24.155"
PegRatio,,,,,,,,,"2.417"
PsRatio,"1.03","1.026","1.692","2.105","2.647","2.914","3.288","3.141","2.526"
PbRatio,"2.745","2.381","4.145","4.369","4.972","8.244","10.813","13.366","18.44"
EnterprisesValueRevenueRatio,"1.874","1.872","2.255","2.783","3.473","3.83","3.688","3.446","3.085"
EnterprisesValueEBITDARatio,"15.397","15.379","8.547","11.937","11.044","13.432","13.4","14.364","19.31"
