name,ttm,12/31/2021,12/31/2017,12/31/2013
MarketCap,"6,395,261,583","1,350,387,903","753,607,922","885,789,833"
EnterpriseValue,"6,809,861,583","1,911,370,748","1,111,162,359","633,365,420"
PeRatio,"10.446"
ForwardPeRatio,"31.546"
PsRatio,"16.276"
PbRatio,"1.33"
EnterprisesValueRevenueRatio,"36.567","11.888","10.154","10.823"
EnterprisesValueEBITDARatio,"21.188","6.208","6.257","4.183"
