name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
MarketCap,"137,209,414","92,472,636","119,918,896","486,684,885","1,112,617,552"
EnterpriseValue,"-8,624,586","-78,803,364","-99,055,104","252,896,885","887,317,552"
PbRatio,"1.054","0.598","0.458","1.449","4.288"
EnterprisesValueEBITDARatio,"0.068","0.626","1.125","-4.623","-45.304"
