name,ttm,04/30/2024,04/30/2023,04/30/2022,04/30/2021,04/30/2020,04/30/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009
MarketCap,"1,129,465,418","113,662,707","48,191,256","108,953,264","118,902,306","30,016,636","838,236","353,189","1,347,163","36,576,998","455,702","180,072","629,456","496,939","979,474","227,583","56,175"
EnterpriseValue,"1,138,673,960","107,357,516","25,864,882","56,748,186","118,715,976","30,274,285","2,857,318","2,263,542","2,158,454","35,976,905","684,765","391,807","666,875","419,695","1,639,377","826,904","665,634"
PeRatio,"1.119",,,,,,,,,,,"58.828",,"0.597","6.8",,
PsRatio,"60.022","4.692","5.28","12.187","25.093","3.355","6.664","3.432","2,170.513","7.378","12.781","3.648","11.31","15.655","189.747",,
PbRatio,"41.789","2.293","0.744","1.309",,"16.64",,,,"6.818","0.528","0.022",,"10.211",,,
EnterprisesValueRevenueRatio,"69.142","5.999","2.868","8.114","34.002","314.662","27.179","33.175","2,606.829","140.237","11.299","7.937","11.983","13.221","317.586","-28.553","70.023"
EnterprisesValueEBITDARatio,,,"-0.995","-5.032","-9.913","-19.249","-3.803","-0.851","0.693","-10.726","-1.848","-0.053","3.973","0.498","338.504","-24.466","-14.025"
