name,ttm,12/31/2023
MarketCap,"1,491,951,697","2,788,666,761"
EnterpriseValue,"2,648,680,697","3,931,169,761"
PeRatio,"20.283","78.164"
ForwardPeRatio,"14.793","28.409"
PsRatio,"1.025","1.879"
PbRatio,"3.447","8.905"
EnterprisesValueRevenueRatio,"1.744","2.649"
EnterprisesValueEBITDARatio,"12.608","18.243"
