name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004
MarketCap,"2,757,556,640","3,012,711,576","2,625,774,235","2,057,400,000","1,912,680,000","2,217,600,000","2,334,660,000","1,552,384,017","1,898,789,296","1,857,540,000","4,224,500,000","7,687,350,000","3,694,920,000","3,215,599,405","6,438,600,000","5,550,150,000","1,225,768,840","11,096,200,000","15,155,030,000","16,279,822,447","13,219,200,000"
EnterpriseValue,"2,126,556,640","2,621,711,576","2,700,774,235","2,550,400,000","2,724,680,000","4,605,600,000","4,210,660,000","3,309,384,017","3,462,789,296","4,931,540,000","7,644,500,000","11,256,350,000","7,219,920,000","7,969,599,405","12,189,600,000","5,119,150,000","-708,231,160","12,108,200,000","16,478,030,000","18,683,822,447","16,277,200,000"
PeRatio,"38.938","9.027","4.56","1.985","4.154","8.627","2.913","4.443",,,,"13.388","11.554",,"45.31",,,"9.864","12.861","13.351","11.441"
ForwardPeRatio,,,,,,,,,"4.762","4.425","6.676","10.616","5.811","5.269","10.04",,,,,,
PegRatio,,,,,,,,,,,"0.309","0.323","0.14","0.285","1.338",,,,,,
PsRatio,"0.401","0.442","0.367","0.249","0.23","0.262","0.289","0.177","0.228","0.197","0.443","0.784","0.37","0.313","0.643","0.565","0.123","1.024","1.499","1.607","1.2"
PbRatio,"0.369","0.37","0.282","0.135","0.13","0.154","0.182","0.119","0.128","0.137","0.279","0.526","0.223","0.198","0.465","0.452","0.137","0.823","1.139","1.221","1.027"
EnterprisesValueRevenueRatio,"0.289","0.356","0.365","0.336","0.332","0.598","0.534","0.44","0.414","0.577","0.876","1.305","0.749","0.803","1.208","0.564","-0.071","1.088","1.602","1.909","1.57"
