name,ttm,12/31/2023,12/31/2022,12/31/2021
MarketCap,"2,424,486,650","5,095,813,596","6,647,336,246","10,628,696,421"
EnterpriseValue,"1,985,606,650","4,583,351,596","5,743,057,246","9,603,971,421"
ForwardPeRatio,"178.571","69.93","107.527",
PsRatio,"0.561","1.234","2.678","6.249"
PbRatio,"3.663","5.846","6.13","9.579"
EnterprisesValueRevenueRatio,"0.46","1.062","2.405","6.312"
EnterprisesValueEBITDARatio,"-11.844","-27.34","-79.309","-26.519"
