name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
MarketCap,"23,294,176,848","27,369,860,894","30,263,819,956","42,386,063,120","30,983,234,470","26,936,657,250","18,201,778,370","19,201,771,878","12,811,761,768","13,211,817,010","14,302,881,840","11,538,330,880","9,009,704,340","4,698,054,520","4,701,222,080","3,999,521,120","1,902,742,043","3,667,579,200","2,905,980,000","1,532,508,500","602,299,840","206,860,160","18,680,741","552,807,821","1,665,006,016"
EnterpriseValue,"37,548,048,848","41,944,861,894","44,674,087,956","56,296,596,120","43,738,163,470","39,057,434,250","27,799,702,370","28,020,861,878","21,677,583,768","21,624,694,010","21,397,171,840","16,992,376,880","14,127,237,340","7,852,664,520","7,460,402,080","6,321,902,120","4,378,384,043","5,447,165,200","4,370,565,000","2,356,292,500","1,460,378,840","1,054,080,160","981,821,741","1,384,356,821","1,793,364,241"
PeRatio,"46.74","55.756","75.555","147.356",,"204.229",,"194.476","129.075",,,,,,,,,,,,,,,,
ForwardPeRatio,"23.753","38.168","52.356","84.034","87.719","95.238","92.593","92.593","69.444","123.457","172.414","714.286",,,,"17.857",,,,,,,,,
PegRatio,"1.648","1.992","2.205",,"1.857","2.038","2.015","2.604",,,"4.554","18.271",,,,"1.624",,,,,,,,,
PsRatio,"8.654","10.164","12.099","19.559","15.392","14.096","10.314","11.727","8.002","8.256","9.783","9.055","8.948","7.137","7.552","7.205","3.776","8.683","8.795","5.32","2.602","0.975","0.078","2.543","11.593"
PbRatio,,,,,,,,,,,,"25.731","13.798","747.998","14.825","6.666","3.869","10.87","7.49",,,"4.715","0.101","1.227","3.143"
EnterprisesValueRevenueRatio,"13.847","15.469","16.964","24.383","20.996","19.387","14.9","16.219","13.274","13.198","14.013","13.022","14.807","11.247","11.906","11.38","9.219","13.344","12.448","9.063","6.309","5.487","4.089","6.147","10.681"
EnterprisesValueEBITDARatio,"22.073","24.658","27.352","41.617","39.872","30.581","25.212","25.787","20.511","26.459","22.98","21.947","28.384","19.205","25.264","21.168","15.419","29.489","25.914","19.611","15.069","17.43","13.929","18.794","314.268"
