name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
MarketCap,"1,813,241,650","1,625,926,673","1,431,506,040","2,023,598,651","1,621,613,254","1,427,782,357","1,097,839,668","1,343,863,277"
PeRatio,"5.293","11.648",,"3.191",,,"4.134",
PsRatio,"11.986","23.827",,"4.159",,"581.992","4.166",
PbRatio,"0.95","0.927","22.916","22.64","1.143","0.952","2.591",
EnterprisesValueRevenueRatio,"12.217","24.34",,"4.167",,"533.395","4.744",
