name,ttm
MarketCap,"2,073,171,546"
EnterpriseValue,"4,672,512,546"
PeRatio,"22.062"
ForwardPeRatio,"7.032"
PegRatio,"0.469"
PsRatio,"0.572"
PbRatio,"3.624"
EnterprisesValueRevenueRatio,"1.313"
EnterprisesValueEBITDARatio,"21.614"
