name,ttm,12/31/2023
MarketCap,"3,804,376,724","1,554,192,000"
EnterpriseValue,"6,457,326,724","3,330,002,000"
PeRatio,"207.476","51.093"
PsRatio,"2.603","1.933"
PbRatio,"3.052","1.326"
EnterprisesValueRevenueRatio,"6.003","4.141"
EnterprisesValueEBITDARatio,"13.981","8.341"
