name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
MarketCap,"2,086,813,978","1,943,930,238","956,795,394","1,316,489,087","909,947,618","991,252,238","902,685,840","1,515,373,805","1,221,287,298","1,414,477,962","1,513,819,594","1,925,061,613"
EnterpriseValue,"2,103,813,978","2,203,930,238","1,330,495,394","1,645,189,087","525,775,618","412,191,238","966,765,840","2,028,472,805","1,568,088,298","1,689,064,962","1,506,896,594","1,958,969,613"
PeRatio,"6.643","9.667",,"3.46","22.667",,"43.818","8.23","10.405",,"10.35","8.667"
ForwardPeRatio,,,,,,,,"7.148","6.278","7.937",,
PsRatio,"0.771","0.713","0.475","0.509","1.169","1.463","1.523","1.724","1.631","2.517","3.103","4.465"
PbRatio,"0.902","0.948","0.508","0.54","0.637","0.716","0.599","0.939","0.839","1.059","1.034","1.47"
EnterprisesValueRevenueRatio,"0.778","0.816","0.613","0.74","0.594","0.421","2.561","2.189","2.213","2.923","2.843","4.091"
