name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
MarketCap,"7,599,474,795","7,511,503,438","6,545,409,399","7,073,814,990","8,397,147,680","9,597,822,850","7,112,461,900","5,454,938,819","6,100,160,333","6,555,217,020","4,985,566,420","3,681,194,000","2,680,573,050","1,996,269,511","2,226,788,520","1,716,773,700","1,315,640,540","1,093,229,700","1,057,937,160","716,018,480","599,723,200","347,925,030","138,907,340","120,393,980","76,404,894","252,204,083","605,480,716","752,221,875","604,311,843","443,621,251","378,690,438","166,018,750","135,854,500"
EnterpriseValue,"12,223,980,795","12,248,070,438","11,695,429,399","12,244,203,990","13,534,157,680","14,176,215,850","11,690,933,900","10,075,148,819","10,501,232,333","10,784,815,020","7,286,494,420","5,313,484,000","4,503,794,050","3,204,449,511","3,505,320,520","2,561,240,700","1,972,116,540","1,776,769,700","1,781,333,160","1,333,887,480","1,120,937,200","985,054,030","606,408,340","928,151,980","933,908,894","901,656,083","1,340,739,716","1,197,772,875","846,780,843","639,021,251","513,790,438","284,118,750","152,054,500"
PeRatio,"30.98","31.286","16.156","15.656","52.638","26.142","24.754","33.181","19.785","24.809","23.256","21.594","21.295","64.5","43.154","22.356","17.172","18.239","26.848","39.344",,"116.625",,,,"6.312","14.513","17.882","16.542","15.39","13.63","14.185","30.699"
ForwardPeRatio,"10.132",,"9.747",,,,,"16.556",,,"26.042","21.186","19.305","21.277","32.051",,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,,,,"13.006","10.59","9.648","10.632","7.124",,,,,,,,,,,,,,,,,,
PsRatio,"8.17","8.857","6.971","6.646","9.664","10.244","8.302","6.159","7.122","8.594","10.16","8.537","7.351","6.812","8.186","8.24","6.199","6.627","8.188","5.937","5.932","4.126","0.948","0.468","0.353","2.061","5.564","8.139","7.819","6.414","6.468","7.911","22.894"
PbRatio,"2.126","2.047","1.771","1.753","2.242","2.472","2.054","1.514","1.604","1.772","3.545","3.093","2.651","2.229","2.486","2.269","1.936","2.338","3.04","2.946","2.272","1.554","0.52","0.505","0.283","0.721","1.52","1.831","1.578","1.282","1.117","1.353","1.109"
EnterprisesValueRevenueRatio,"12.871","12.896","13.317","11.521","15.166","15.262","13.26","11.091","11.657","14.503","14.435","12.69","12.851","10.966","13.57","12.972","10.178","11.136","13.145","12.166","12.888","12.132","4.939","3.879","3.543","7.425","12.265","13.191","11.58","10.408","13.592","13.66","25.772"
EnterprisesValueEBITDARatio,"15.076","15.105","11.675","12.334","18.912","16.595","15.003","16.416","12.699","17.161","15.455","13.513","13.255","13.361","15.002","15.44","12.541","12.026","14.701","13.162","10.156","7.437","2.283","1.889","3.256","4.511","8.577","13.895","12.251","7.311","10.035","10.681","20.548"
