name,ttm,01/31/2023,01/31/2022
MarketCap,"1,361,869,532","671,939,708","1,027,346,550"
EnterpriseValue,"1,210,965,532","502,390,708","798,742,550"
PsRatio,"7.656","4.433","8.657"
PbRatio,"10.068","4.25","5.366"
EnterprisesValueRevenueRatio,"7.058","3.245","6.465"
EnterprisesValueEBITDARatio,"-16.908","-7.827","-14.865"
