name,ttm,12/31/2022,12/31/2021
MarketCap,"384,195,951","343,234,561","410,743,377"
EnterpriseValue,"322,784,951","157,183,561","57,281,377"
PsRatio,"17.692","12.54","46.217"
PbRatio,"3.006","3.791","4.04"
EnterprisesValueRevenueRatio,"58.868","11.37","4.618"
EnterprisesValueEBITDARatio,"-1.922","-1.114","-0.683"
