name,ttm,12/31/2023
MarketCap,"13,621,236,400","4,883,022,227"
EnterpriseValue,"13,623,869,400","4,884,982,227"
PeRatio,"289.951",
ForwardPeRatio,"200",
PsRatio,"15.306","7.164"
PbRatio,"22.097","8.639"
EnterprisesValueRevenueRatio,"14.914","7.168"
EnterprisesValueEBITDARatio,"119.916","179.906"
