name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
MarketCap,"4,016,805,343","3,113,749,076","974,684,300","2,018,699,443","948,110,947","418,579,272","246,719,577","202,588,054","116,295,499","76,705,541","91,788,511","123,142,380","41,855,706","51,988,861","83,149,471","73,089,357","10,396,131","51,829,989","127,974,042","128,085,122","121,041,552","78,454,915","8,386,559","79,697,908","162,958,014"
EnterpriseValue,"3,814,975,343","2,920,592,076","777,882,300","1,814,483,443","842,775,947","335,539,272","228,033,577","183,902,054","96,604,499","47,523,541","71,487,511","102,841,380","22,170,706","45,219,861","76,172,471","58,953,357","-719,869","36,833,989","103,625,042","118,363,122","114,235,552","67,917,915","-5,372,441","63,631,908","130,887,014"
PeRatio,"40.596","42.048","14.738","36.832","47.63","18.356","15.044","74.148",,"43.4","23.112",,,"6.25","31.556",,,,"7.889","33","11.462",,,,"184.375"
ForwardPeRatio,"23.365",,,,,,,,,"16.695","7.525","94.34","8.482",,,,,,,,,,,,
PsRatio,"10.902","10.915","3.349","8.286","6.208","3.055","2.132","1.716","1.096","0.745","1.009","1.524","0.497","0.477","0.982","1.365","0.137","0.731","1.279","1.932","1.843","2.519","0.332","1.801","5.069"
PbRatio,"7.817","6.898","2.709","7.229","6.157","3.202","2.603","2.406","1.64","0.964","1.399","2.048","0.694","0.842","1.54","1.433","0.16","0.711","1.56","2.534","2.432","2.019","0.208","1.732","3.5"
EnterprisesValueRevenueRatio,"9.522","9.456","2.486","7.433","6.001","2.504","1.969","1.539","0.912","0.505","0.785","1.291","0.262","0.406","0.868","1.102","-0.01","0.519","1.053","1.933","1.694","2.181","-0.238","1.444","5.478"
EnterprisesValueEBITDARatio,"32.341","37.954","9.681","29.172","38.014","13.8","52.098","-174.812","28.59","15.015","24.524","47.48","8.865","4.467","13.254","-6.439","0.11","-6.46","6.296","30.034","9.117","-97.724","0.484","-17.844","66.745"
