name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019
MarketCap,"2,031,789,130","1,372,587,150","1,139,510,357","1,647,031,731","2,267,711,716","1,184,937,187"
EnterpriseValue,"2,032,843,130","1,372,161,150","1,136,439,357","1,653,338,731","2,274,018,716","1,193,546,187"
PeRatio,"26.102","19.611","23.399","62.279","108.341","306.264"
PsRatio,"5.504","3.932","3.749","7.811","13.948","12.563"
PbRatio,"4.311","3.263","3.073","4.36","6.266","5.684"
EnterprisesValueRevenueRatio,"5.408","3.65","3.474","6.672","13.499","10.535"
