name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987
MarketCap,"4,592,439,632","5,066,734,713","5,452,341,452","4,948,329,260","4,185,707,626","3,926,064,920","3,183,283,711","3,648,486,699","3,749,307,032","2,574,618,558","2,595,129,919","1,586,031,897","1,223,731,786","1,419,314,884","1,273,751,742","867,451,627","1,439,670,819","1,211,966,936","1,586,926,523","1,480,368,227","1,640,772,176","1,362,678,624","1,221,491,022","1,238,859,107","887,512,008","1,014,377,125","1,146,284,000","715,486,000","497,970,000","355,592,250","286,896,000","313,792,500","221,380,000","117,652,500","90,169,250","103,257,250","119,687,500","91,103,250"
PeRatio,"12.557","13.129","15.454","12.134","14.087","15.161","15.658","18.289","23.597","18.682","20.464","18.179","14.841","17.133","17.697","12.89","16.61","13.033","18.146","15.255","20.185","16.859","14.107","15.189","12.5","14.829","25.98","17.685","16.5","12.829","11.65","14.915","12.5","9","8.266","9.075","12.019","12.316"
ForwardPeRatio,"12.987","14.556","13.68","14.389","15.221","15.848","12.195","15.974","21.692","17.953","18.45","16.26","12.804","15.198","17.637",,,,,,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,"1.525","1.598",,,"3.181","2.805","2.001","1.901","2.206",,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"4.378","4.762","5.446","4.443","3.951","5.478","4.488","5.087","6.951","5.58","5.776","4.639","3.559","3.943","4.03","2.665","4.508","4.178","6.024","5.678","6.486","4.481","4.468","4.909","3.892","4.511","5.43","5.759","4.439","3.801","3.227","3.677","2.943","1.946","1.522",,,
PbRatio,"0.963","1.09","1.229","1.117","0.981","1.17","0.979","1.118","1.848","1.506","1.569","1.558","1.233","1.459","1.606","1.139","1.954","1.592","2.498","2.318","2.598","2.215","2.256","2.446","2.105","2.562","2.72","2.561","1.926","1.859","1.61","1.835","1.475","1.045","0.845",,,
