name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004
MarketCap,"2,595,256,771","2,861,454,925","2,262,396,178","2,772,955,155","1,746,709,033","1,574,284,170","845,756,209","533,110,705","383,453,660","364,381,989","341,731,375","327,247,811","187,182,857","84,963,584","147,666,229","50,520,945","74,199,125","330,566,486","514,820,943","441,972,054","404,105,529"
PeRatio,"10.346","8.576","6.942","7.697","15.247","10.25","7.297","7.385","14.075","7.944","4.054","24.667","10.153",,"1.37",,,"3.628","11.441","8.727","13.787"
ForwardPeRatio,,,,,,,,"9.709","10.504","12.121","14.728","17.036","14.535",,,,,,,,
PsRatio,"4.354","4.488","4.106","4.759","5.087","4.375","3.06","2.525","3.122","3.898","3.643","3","2.309","1.737","4.245","0.531","0.685","2.29","8.16","7.283","10.893"
PbRatio,"1.081","1.158","1.075","1.683","1.583","1.677","1.195","0.902","0.797","0.765","0.768","0.887","0.816","0.437","0.722","0.522","0.264","0.836","1.778","1.536","1.538"
EnterprisesValueRevenueRatio,"16.374","17.681","22.188","17.585","19.07","15.744","14.84","10.926","18.387","18.044","18.874","19.209","19.468","28.504","11.596","21.211","20.936","14.63","19.352","11.236","14.787"
