name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
MarketCap,"1,253,356,218","1,187,975,581","1,171,070,648","1,224,933,948","669,177,503","780,335,286","464,861,724","536,540,295","407,606,620","132,067,644","101,455,200","70,146,867"
PeRatio,"20.681","20.689","13.433","14.412","12.934","13.526","12.513","17.378","20.645","12.819","13.514","4.702"
ForwardPeRatio,,,,,,,"11.962","16.75",,,,
PegRatio,,,,,,,"1.709","2.391",,,,
PsRatio,"4.577","4.496","3.885","4.317","3.786","4.424","3.411","4.17","3.695","2.369","1.931","1.531"
PbRatio,"1.206","1.23","1.249","1.645","1.235","1.827","1.229","1.491","1.476","1.425","1.19","0.886"
