name,ttm,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
MarketCap,"9,013,076,274","8,323,440,150","5,703,316,626","19,077,391,492","9,500,610,911","3,628,340,378","6,915,891,248","6,496,447,030","8,902,095,208","11,190,428,253","4,672,104,268","903,461,138"
EnterpriseValue,"5,512,864,197","6,034,823,907","3,654,922,500","17,579,654,667","9,138,998,889","3,542,227,692","7,088,989,533","6,389,677,992","8,571,463,429","10,655,821,875","4,577,840,310","811,939,240"
PeRatio,"8.297","15.378","5.498","32.505","27.418","12.347","21.926","27.02","56.507","157.684","363.809",
ForwardPeRatio,"8.065","7.776","5.647","16.75","11.588","9.091","16.051","14.124","22.779","42.017","38.314","24.753"
PegRatio,,,,,,,,,,"0.382","0.698","0.451"
PsRatio,"0.597","0.573","0.334","1.375","0.806","0.317","0.799","1.06","2.152","5.628","4.663","1.145"
PbRatio,"1.756","1.7","1.177","4.809","3.251","1.514","6.48","8.801","15.219","32.189","21.755","10.94"
EnterprisesValueRevenueRatio,"0.049","0.059","0.031","0.173","0.098","0.042","0.097","0.113","0.213","0.461","0.439","0.188"
EnterprisesValueEBITDARatio,"0.551","0.634","0.511","2.137","1.528","0.933","1.895","1.698","3.151","7.121","12.18","-32.43"
