name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988
MarketCap,"85,050,440,747","72,137,078,975","64,395,646,820","69,451,066,392","49,860,996,697","48,356,201,786","37,730,256,869","37,472,854,521","31,342,438,828","23,865,843,694","23,532,138,546","20,834,074,969","15,662,790,425","15,057,394,823","17,514,973,672","16,435,730,656","15,765,168,853","16,338,880,183","19,623,556,782","16,760,878,823","17,072,167,758","17,053,096,500","13,628,242,566","20,040,045,062","17,278,544,742","10,780,485,480","28,359,376,500","8,547,943,500","4,449,303,750","1,242,654,500","256,847,500","133,610,750","152,409,500","173,390,000","22,735,500","4,387,500","4,282,687"
EnterpriseValue,"100,821,440,747","87,417,078,975","78,321,646,820","82,382,066,392","59,579,996,697","58,799,201,786","47,663,256,869","46,782,854,521","40,573,438,828","32,802,843,694","33,513,138,546","30,736,074,969","25,384,790,425","24,388,394,823","25,882,973,672","24,168,730,656","23,611,168,853","24,327,880,183","27,519,556,782","24,802,878,823","25,195,167,758","25,429,096,500","21,657,242,566","27,534,045,062","26,140,913,742","22,097,085,480","39,970,376,500","11,260,443,500","5,612,803,750","1,756,054,500","395,447,500","226,710,750","190,109,500","193,290,000","23,735,500","2,587,500","5,282,687"
PeRatio,"37.417","31.699","29.16","40.51","33.314","27.863","16.886","27.66","28.478","23.004","223.13","22.662","19.17","15.956","18.621","16.821","15.132","14.65","16.945","14.951","18.713","24.463","17.233","39.888",,,,"31.151","132.813",,"126.389","35.547","22.308","54.688","71.875","31.25","20.313"
ForwardPeRatio,"30.769","26.385","25.189","29.94","25.317","24.45","20.04","24.631","22.676","18.975","20.121","17.007","13.569","14.085","16.026",,,,,,,,,,,,,,,,,,,,,,
PegRatio,"2.932","2.584","2.486","2.989","3.113","3.066","1.933","2.466","2.905","2.6","2.485","2.173","1.925","1.965","1.831",,,,,,,,,,,,,,,,,,,,,,
PsRatio,"4.219","3.632","3.368","4.086","3.348","3.156","2.625","2.679","2.372","1.862","1.707","1.509","1.148","1.179","1.421","1.415","1.226","1.28","1.503","1.346","1.395","1.52","1.271","1.772","1.324","0.803","2.145","3.504","3.391","2.203","1.398","1.728","3.12","8.965","5.18","1.828","2.254"
PbRatio,"12.321","10.379","9.128","9.684","6.969","7.127","6.047","7.085","5.813","4.559","4.387","3.106","2.465","2.533","2.798","2.615","2.671","2.821","3.186","2.745","2.859","3.065","2.567","3.717","3.733","2.449","6.486","3.251","3.851","6.499","2.523","2.861","3.82","5.648","2.297","0.844","7.138"
EnterprisesValueRevenueRatio,"4.936","4.28","3.976","4.594","3.915","3.805","3.196","3.23","2.981","2.531","2.394","2.198","1.86","1.823","2.068","2.05","1.764","1.828","2.059","1.897","2.013","2.183","1.932","2.432","2.093","1.683","3.166","0.941","0.51","1.444","2.244","2.903","3.642","10.562","6.415","0.995","2.78"
EnterprisesValueEBITDARatio,"18.03","15.633","14.683","17.48","14.936","14.376","11.276","11.904","11.596","12.194","9.551","13.34","8.231","7.551","7.848","7.885","6.846","7.023","8.123","8.004","8.304","8.926","7.458","10.375","8.128","7.521","9.968","3.69","1.8","4.692","7.664","8.126","10.006","28.425","26.373","6.469","13.207"
