name,ttm,12/31/2023
MarketCap,"2,451,222,432","994,754,610"
EnterpriseValue,"2,868,269,432","902,727,610"
PeRatio,"32.232","76.904"
ForwardPeRatio,"10.06","6.702"
PsRatio,"2.622","1.598"
PbRatio,"2.343","12.966"
EnterprisesValueRevenueRatio,"3.098","1.45"
EnterprisesValueEBITDARatio,"12.772","2.815"
