name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995
MarketCap,"920,273,784","1,025,357,601","1,021,774,574","1,969,545,089","1,622,025,019","1,701,000,250","2,774,542,910","1,776,648,253","1,492,484,400","1,631,310,140","1,263,297,158","1,049,503,880","455,125,530","454,322,960","693,846,011","488,232,466","528,896,137","598,100,400","922,595,940","703,637,480","648,192,600","595,782,000","110,100,850","11,693,440","14,524,500","50,845,000","132,113,922","116,127,968","113,040,000","71,441,280"
EnterpriseValue,"597,917,784","743,829,601","794,021,574","1,666,244,089","1,395,518,019","1,537,984,250","2,453,118,910","1,643,305,253","1,359,141,400","1,553,572,140","1,185,559,158","934,154,880","384,286,530","450,394,960","689,918,011","481,574,466","550,605,137","613,235,400","901,618,940","672,316,480","633,125,600","576,817,000","112,418,850","21,326,440","28,222,500","61,745,000","129,513,922","113,527,968","115,840,000","68,541,280"
PeRatio,"14.494","17.346","13.367","15.474","14.278","18.141","32.885","20.456","15.167","18.276","19.14","13.945","7.4","9.672","15.199","14.7","18.508","13.888","24.14","20.189","22.649","31.224","14.695","5.261","3.571","10.638","14.891","18.311","23.684","37.92"
ForwardPeRatio,"17.391","17.452",,,"14.245",,"19.305","17.212","13.986","15.432","15.65","12.469","6.734","8.636","12.987",,,,,,,,,,,,,,,
PegRatio,"1.449","1.455",,,"0.95",,,,"1.399","1.544","1.304","0.78","0.374","0.557","0.866",,,,,,,,,,,,,,,
PsRatio,"1.005","1.118","0.995","1.705","1.506","1.695","2.488","1.796","1.572","1.835","1.929","1.535","0.758","0.842","1.338","1.127","1.29","1.508","2.678","2.414","2.559","3.262","0.93","0.103","0.126","0.482","1.16","1.417","2.089","3.947"
PbRatio,"1.851","2.18","2.485","4.935","4.168","5.412","6.37","4.903","4.87","5.205","6.334","4.398","2.453","2.851","4.78","6.565","16.613","15.48","17.762","10.502","13.548","13.427","6.085","0.805","1.178","3.941","4.317","6.017","9.116","12.534"
EnterprisesValueRevenueRatio,"0.649","0.808","0.795","1.404","1.23","1.45","2.063","1.569","1.351","1.691","1.5","1.301","0.592","0.774","1.333","1.102","1.283","1.449","2.469","2.134","2.351","2.884","0.84","0.187","0.229","0.46","1.026","1.332","2.043","2.798"
EnterprisesValueEBITDARatio,"4.857","6.042","6.097","8.638","6.944","8.861","11.772","10.898","8.914","10.182","9.516","7.436","3.582","5.24","8.975","8.21","10.232","8.065","13.017","10.18","9.424","16.482","6.64","2.565","2.927","3.337","6.962","8.869","13.315","18.037"
