name,ttm,02/29/2024,02/28/2023,02/28/2022,02/28/2021,02/29/2020,02/28/2019,02/28/2018,02/28/2017,02/29/2016,02/28/2015,02/28/2014,02/28/2013,02/29/2012,02/28/2011,02/28/2010,02/28/2009,02/29/2008,02/28/2007,02/28/2006,02/28/2005,02/29/2004,02/28/2003,02/28/2002,02/28/2001,02/29/2000,02/28/1999,02/28/1998
MarketCap,"1,300,978,912","1,569,484,090","889,221,233","1,364,370,107","1,601,826,942","1,901,016,439","2,044,583,340","1,585,549,096","1,877,173,552","1,490,940,866","2,273,891,199","1,827,177,480","1,771,078,905","1,110,576,308","1,283,997,654","873,568,296","538,940,298","1,966,053,852","2,851,746,387","2,541,326,906","2,121,653,213","2,086,512,176","1,359,515,702","2,234,411,584","2,103,096,039","1,851,690,706","2,342,674,500","5,559,590,000"
EnterpriseValue,"1,493,878,912","1,940,684,090","1,561,521,233","1,811,570,107","1,833,526,942","2,266,316,439","2,314,983,340","1,637,049,096","1,938,673,552","1,525,340,866","2,342,691,199","1,817,277,480","1,847,478,905","1,210,876,308","1,337,797,654","992,368,296","574,240,298","1,960,753,852","2,546,546,387","2,381,526,906","2,099,153,213","2,193,712,176","1,552,615,702","2,756,911,584","2,600,796,039","2,229,890,706","2,142,574,500","5,396,190,000"
PeRatio,"11.917","21.81","52.467","121.7","19.361","12.574","20.126","15.337","11.189","13.576","27.13","53.107","22.109","20.419","64.733",,"6.607","15.247","27.352","51.515","178.5",,,"1,517","11.047","10.124","10.304","201.389"
ForwardPeRatio,"10.449","14.472","11.919","20.121","33.223","11.186","13.158","13.441","12.5","10.582","13.477","10.707","10.56","10.504","17.575",,,,,,,,,,,,,
PegRatio,"1.045","1.446",,,,,,,,,"0.749","0.595","0.587","0.656","0.976",,,,,,,,,,,,,
PsRatio,"0.417","0.493","0.279","0.519","0.564","0.518","0.619","0.525","0.636","0.503","0.75","0.634","0.651","0.421","0.53","0.361","0.161","0.594","0.944","0.88","0.972","0.9","0.526","0.725","0.551","0.572","0.852","2.316"
PbRatio,"1.395","1.792","1.098","1.593","1.69","2.04","2.393","1.95","2.523","2.11","3.408","2.712","2.498","1.567","1.787","1.175","0.665","2.158","2.304","2.109","1.773","1.695","1.083","1.436","1.285","1.185","1.591","4.06"
EnterprisesValueRevenueRatio,"0.474","0.609","0.49","0.672","0.64","0.614","0.701","0.536","0.644","0.498","0.758","0.62","0.651","0.44","0.549","0.414","0.167","0.573","0.822","0.83","0.803","0.891","0.6","0.892","0.669","0.672","0.775","2.241"
EnterprisesValueEBITDARatio,"5.77","8.931","10.997","15.933","9.001","6.747","8.342","6.612","7.618","5.876","10.293","13.674","9.298","7.383","9.902","16.189","2.413","6.642","11.708","8.692","12.54","11.238","8.554","10.128","4.137","5.391","3.886","16.874"
