name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005
MarketCap,"947,557,084","791,533,353","1,034,067,991","466,325,093","220,920,732","384,234,339","511,196,116","889,021,140","1,592,065,225","1,154,598,259","1,780,842,336","2,725,732,148","2,284,448,197","2,839,287,431","2,646,168,549","2,013,763,906","1,265,067,611","1,794,944,491","2,713,389,787","3,866,228,971"
EnterpriseValue,"1,643,726,396","1,536,536,662","1,970,184,507","1,380,525,004","1,197,636,595","1,525,906,753","1,677,758,159","2,198,732,703","2,818,191,756","2,362,376,775","2,845,766,616","3,842,556,438","3,356,019,435","3,584,604,788","3,193,743,936","2,629,600,024","2,379,111,691","1,919,812,673","231,632,426","1,383,617,558"
PeRatio,"4.478","7.113",,,,,,,,,"9.637","498.845","45.762","16.366","44.053","12.05","4.025","5.185","5.255","28.112"
ForwardPeRatio,"9.96","5.01","6.532",,,,,,,,"12.92","12.453","10.87","7.669",,,,,,
PegRatio,,,,,,,,,,,"2.808","2.707","2.362",,,,,,,
PsRatio,"0.69","0.519","1","0.678","0.265","0.342","0.476","0.909","2.127","0.877","0.894","1.434","1.157","1.676","1.932","1.646","1.108","1.763","0.971","1.576"
PbRatio,"0.804","0.744","1.143","0.479","0.194","0.326","0.402","0.599","1.091","0.673","0.81","1.28","1.049","1.375","1.036","0.81","0.663","1.35","2.631","1.147"
EnterprisesValueRevenueRatio,"0.848","0.793","1.218","1.399","1.28","0.99","1.089","1.664","2.809","1.519","1.211","1.893","1.645","1.837","2.234","2.196","2.159","1.902","0.161","1.09"
EnterprisesValueEBITDARatio,"2.551","2.384","5.631","7.614","3.874","3.473","9.552","7.991","12.716","44.038","4.932","5.961","7.982","6.204","7.135","5.874","5.425","4.392","0.347","2.489"
