name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019
MarketCap,"1,909,125,330","1,544,919,777","1,544,312,867","2,116,149,238","1,347,246,385","310,775,893"
EnterpriseValue,"3,424,727,330","2,966,627,777","2,876,035,867","2,449,515,238","1,405,091,385","495,741,742"
PeRatio,,,,,,"370.987"
ForwardPeRatio,"18.832","15.038","20.284",,,
PsRatio,"1.455","1.208","1.65","3.231","4.893","2.155"
PbRatio,"3.407","2.608","2.37","3.672","6.03",
EnterprisesValueRevenueRatio,"2.81","2.435","2.933","4.318","5.832","3.596"
EnterprisesValueEBITDARatio,"62.118","53.809","35.333","120.63","-752.996","-397.229"
