name,ttm,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986,09/30/1985
MarketCap,"2,494,024,556","1,608,682,368","921,668,687","969,245,376","702,905,885","374,235,352","393,420,380","375,935,717","520,995,244","381,306,513","401,362,412","388,062,576","422,047,580","387,932,611","423,779,390","248,133,683","158,210,856","155,946,945","150,131,280","143,112,948","122,164,931","121,680,754","92,461,026","79,223,131","82,039,694","86,239,125","114,510,000","113,139,000","85,651,751","84,271,184","55,400,761","45,250,810","34,131,313","32,517,630","29,461,323","29,685,700","23,850,202","15,649,083","10,891,900","11,882,888"
EnterpriseValue,"2,599,960,556","1,733,758,368","1,056,916,687","1,072,699,376","798,958,885","444,148,352","476,662,380","482,392,717","625,070,244","490,402,513","366,296,412","346,251,576","378,665,580","357,681,611","389,553,390","203,433,683","128,674,856","132,161,406","127,942,135","122,615,897","110,927,620","99,331,347","70,111,619","66,698,874","70,213,045","64,439,125","111,810,000","105,639,000","77,451,751","74,371,184","49,200,761","35,750,810","26,631,313","27,717,630","24,361,323","24,585,700","18,750,202","10,949,083","9,391,900","8,282,888"
PeRatio,"30.504","22.069","15.58","19.367","19.488","13.852",,"11.525","22.273","22.278","20.535","21.74","25.774","19.175","20.959","10.476","6.738","17.112","19.799","16.172","15.076","21.268","10.904","11.368","10.227","9.052","14.085","14.552","13.136","16.528","11.926","9.962","8.971","9.612","9.57","13.955","13.067","8.57","9.642","9.643"
ForwardPeRatio,"27.933","20.964","16.313","21.692","16.611",,,,,,,"15.152","14.225",,"17.391",,"6.124",,,,,,,,,,,,,,,,,,,,,,,
PegRatio,"3.993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"2.674","1.746","0.99","1.359","1.26","0.703","0.717","0.754","1.048","1.014","1.134","1.109","1.213","1.13","1.429","0.968","0.556","0.792","0.955","1.002","1.056","1.137","0.889","0.768","0.876","0.934","1.225","1.29","1.08","1.088","0.8","0.679","0.537","0.513","0.487","0.663","0.555","0.463","0.408","0.437"
PbRatio,"5.625","4.055","2.702","3.323","2.736","1.612","1.793","1.545","2.397","1.91","2.07","2.145","2.488","2.525","3.106","2.042","1.525","1.834","1.871","1.881","1.692","1.792","1.407","1.35","1.462","1.551","2.14","2.314","1.992","2.284","1.592","1.464","1.25","1.338","1.703","2.006","1.612","1.168","0.893","1.071"
EnterprisesValueRevenueRatio,"2.782","1.876","1.137","1.501","1.411","0.821","0.866","0.973","1.264","1.298","1.029","0.988","1.094","1.044","1.309","0.791","0.453","0.673","0.814","0.856","0.962","0.928","0.674","0.638","0.734","0.675","1.181","1.205","0.957","0.905","0.647","0.542","0.419","0.423","0.422","0.549","0.442","0.329","0.306","0.268"
EnterprisesValueEBITDARatio,"17.239","12.971","9.572","11.49","10.84","7.184","28.475","8.959","10.301","11.548","8.566","8.524","11.011","8.901","9.961","4.508","2.998","7.249","8.572","7.454","6.916","8.89","4.375","4.997","4.601","4.296","7.93","7.825","7.239","7.364","5.348","4.414","3.805","4.471","1.416","5.122","5.859","2.959","3.612","2.672"
