name,ttm,12/31/2023
MarketCap,"1,176,040,125","570,373,706"
EnterpriseValue,"884,291,125","307,227,706"
PbRatio,"4.078","2.183"
EnterprisesValueEBITDARatio,"-6.282","-3.691"
