name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
MarketCap,"10,104,166,231","9,600,870,482","7,311,232,879","14,438,373,242","11,885,948,400","9,118,555,520","5,337,556,288","10,389,244,904","8,249,248,584","8,874,784,776","7,159,003,594","7,616,724,675","4,787,862,005","2,649,799,079"
EnterpriseValue,"12,551,166,231","12,068,870,482","10,495,532,879","16,773,673,242","13,647,048,400","11,270,655,520","7,461,056,288","11,574,344,904","9,556,448,584","9,865,584,776","7,667,403,594","7,815,324,675","4,777,362,005","2,542,299,079"
PeRatio,"25.271","21.631","10.108","19.723","24.352","22.377","13.145","23.764","21.47","32.84","26.629","42.71","41.155","43.804"
ForwardPeRatio,"18.727","18.975","11.416","17.513","18.587","16.475","9.497","20.121","17.241","21.882","19.881","24.331","25",
PegRatio,"3.422",,"12.403","1.406","1.601","1.574","0.787","1.29","0.707","0.996","0.89","1.017","1.051",
PsRatio,"2.211","2.124","0.947","2.04","2.037","1.62","1.042","2.057","1.735","2.056","1.743","1.947","1.352","0.801"
PbRatio,"4.406","4.327","2.413","4.727","4.522","3.904","2.391","4.086","3.477","3.695","3.063","2.986","2.011","1.25"
EnterprisesValueRevenueRatio,"2.713","2.609","2.222","3.494","3.769","1.955","1.36","2.191","1.917","2.154","1.91","2.11","1.524","0.764"
EnterprisesValueEBITDARatio,"15.626","15.026","10.733","16.777","18.281","13.708","9.803","14.21","12.676","16.256","15.301","19.151","19.499","25.322"
