name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987
MarketCap,"24,786,403,684","22,488,454,383","20,837,476,971","25,204,216,128","22,057,191,628","36,216,654,241","43,588,386,257","50,361,745,321","46,389,490,266","55,672,110,332","67,505,974,431","74,363,741,735","61,393,321,665","78,455,099,577","104,089,546,501","127,061,662,142","105,689,904,374","155,281,840,657","104,574,020,936","73,849,763,490","93,336,086,114","72,999,618,955","41,377,578,159","55,442,494,956","61,816,709,170","76,262,035,617","45,493,549,629","28,090,534,677","21,339,423,858","12,918,193,741","10,835,450,954","11,556,209,485","8,127,751,147","7,588,638,227","7,280,322,519","6,895,166,948"
EnterpriseValue,"64,367,859,141","21,842,200,058","61,813,884,332","19,174,015,307","17,690,835,937","30,973,140,583","98,090,663,762","111,672,944,003","104,451,864,794","115,408,931,146","122,697,467,156","142,504,165,192","129,748,026,588","150,432,323,024","177,644,344,865","192,641,539,441","170,694,031,951","224,159,224,304","175,422,652,671","108,144,942,402","111,762,265,135","94,653,546,225","63,728,415,697","76,112,476,564","88,245,369,265","94,401,616,869","68,808,649,628","42,550,318,771","36,181,005,386","29,006,314,993","10,835,450,954","29,820,182,823","22,235,873,815","15,936,067,248","14,331,559,541","14,756,036,243"
PeRatio,"12.63","13.053","66.986","2.092","65.693","18.855","12.751","17.627",,"17.442","12.702","14.791","11.725","14.746","7.622","11.363","9.9","11.918","12.4","15.243","23.093","33.477",,"29.537","29.383","41.901","29.782","24.422","17.506","11.662",,"10.409","10.158","13.591","13.953","12.095"
ForwardPeRatio,"12.255","12.595","11.696","9.95","6.868","9.183","11.074","11.287","12.166","12.642","11.862","10.111","6.766","8.251","9.009",,"9.497",,,,,,,,,,,,,,,,,,,
PegRatio,,,,"1.699","0.32","1.026","0.611","0.453","0.721","1.043","1.479","0.931","0.771",,"2.353",,"1.582",,,,,,,,,,,,,,,,,,,
PsRatio,"0.552","0.498","0.516","0.501","0.379","0.651","0.775","0.786","0.986","0.909","1.05","0.921","0.752","0.959","1.166","1.514","1.337","1.881","1.558","1.716","2.207","2.536","1.376","1.952","1.625","3.284","2.23","1.964","1.396","0.87",,"0.921","0.903","1.31","1.484","1.191"
PbRatio,"1.032","0.791","0.752","0.929","1.671","1.915","2.36","2.428","2.554","2.49","2.294","2.592","2.269","3.376","3.201","4.08","4.406","5.292","4.866","5.094","4.247","3.465","2.32","2.409","2.68","5.217","2.874","2.137","1.502","1.074",,"0.839","0.6","0.703","0.734","0.623"
EnterprisesValueRevenueRatio,"1.583","0.537","1.546","0.488","0.411","0.64","2.014","2.147","2.007","2.102","2.436","2.819","2.081","2.394","2.925","3.396","2.946","3.972","3.316","2.893","3.752","3.26","2.183","2.383","2.966","4.1","3.941","3","2.945","2.601","1.01","3.271","3.414","2.912","3.096","3.802"
EnterprisesValueEBITDARatio,"6.226","2.113","4.181","0.851","1.232","1.924","5.667","6.434","6.013","7.68","7.818","7.942","6.385","7.431","6.695","8.403","7.23","9.469","8.622","6.879","9.307","7.268","-10.085","6.909","7.109","9.4","8.198","6.44","6.325","5.08","1.972","6.424","6.935","6.048","6.143","11.859"
