name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
MarketCap,"54,566,392,000","48,554,065,680","39,751,773,600","35,376,195,000","23,962,627,000","17,912,763,000","13,560,800,000","11,440,960,720","9,254,720,511","7,242,286,000","7,749,368,000","6,269,848,000","4,352,040,000","3,774,807,520","3,152,272,000","2,307,275,000","2,498,397,660","2,226,665,310","2,906,360,700","2,955,926,240","2,994,062,500","2,924,002,530","2,601,540,240","2,935,478,390","2,529,038,061","1,192,731,840","778,638,560","571,394,040","505,083,000","574,649,352","473,088,000","550,492,500","399,172,500","304,750,224","276,372,750","282,869,672","190,749,000","189,059,551","277,803,750","205,787,956"
EnterpriseValue,"61,912,092,000","54,575,865,680","45,747,573,600","38,428,995,000","28,208,927,000","22,145,063,000","16,486,300,000","13,899,160,720","11,508,620,511","9,265,186,000","9,880,068,000","7,043,448,000","4,903,940,000","4,208,407,520","3,452,472,000","2,651,275,000","2,835,797,660","2,363,265,310","2,749,160,700","2,726,026,240","2,924,862,500","2,851,502,530","2,610,516,240","2,838,144,390","2,436,297,061","1,131,631,840","717,138,560","504,194,040","468,783,000","538,349,352","429,688,000","528,192,500","306,772,500","324,750,224","211,972,750","218,469,672","131,549,000","129,859,551","228,603,750","192,687,956"
PeRatio,"56.943","43.246","37.261","36.885","31.005","26.234","24.085","25.312","24.28","20.368","22.208","25.096","21.792","24.588","19.304","17.053","21.958","15.214","25.921","42.889","16.332","20.694","20.837","24.813","31.973","18.395","14.235","11.003","11.787","15.205","18.605","20.597","19.618","17.481","16.607","20.521","11.964","11.74","18.75","21.54"
ForwardPeRatio,"24.691","22.026","21.459","27.1","25.907","23.31",,"19.455","17.331","15.625","16.75","19.455","16.103","18.939","18.692",,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,,,,"1.403","1.629","1.348","1.972","1.977",,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"5.48","5.081","4.755","4.342","3.423","2.544","2.035","1.926","1.668","1.312","1.618","2.037","1.684","1.835","1.691","1.31","1.515","1.446","1.957","1.921","2.08","2.394","2.455","3.415","3.851","2.059","1.54","1.289","1.207","1.549","1.81","2.202","1.691","1.418","1.483","1.706","1.315","1.548","2.679","2.613"
PbRatio,"5.064","4.657","4.66","4.201","4.152","3.698","2.984","2.787","2.513","1.983","2.38","3.245","2.624","3.146","2.848","2.584","3.383","3.112","3.436","3.768","3.934","4.723","4.926","7.899","8.403","4.918","3.845","3.486","3.755","4.95","4.643","4.535","4.377","3.552","3.375","4.191","3.018","2.991","5.116","5.781"
EnterprisesValueRevenueRatio,"6.147","5.419","5.35","4.681","4.024","3.11","2.381","2.225","2.026","1.718","2.136","2.215","1.946","1.971","1.852","1.533","1.724","1.456","1.87","1.908","2.035","2.335","2.462","3.196","3.043","1.586","1.231","0.961","1.042","1.27","1.239","1.748","1.125","1.402","1.069","1.261","0.843","1.057","2.121","2.361"
EnterprisesValueEBITDARatio,"28.422","25.054","20.951","21.742","17.309","17.297","15.901","15.982","14.491","12.68","15.452","13.553","11.439","11.568","10.44","8.153","10.665","8.398","12.289","12.853","9.432","11.429","11.311","16.177","15.906","7.821","9.027","5.187","8.746","9.478","8.123","12.032","6.863","11.315","7.235","7.639","4.568","6.835","12.225","10.088"
