name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991
MarketCap,"66,229,974,319","59,310,493,199","45,310,498,275","52,397,286,000","39,139,461,000","32,241,717,000","24,184,470,000","26,808,772,628","20,729,747,808","16,086,840,000","16,674,897,913","14,108,821,603","10,342,795,648","7,522,904,557","9,265,565,048","7,998,834,475","4,215,214,207","8,292,826,751","5,495,947,925","4,026,211,945","3,229,134,922","2,805,936,832","1,617,721,674","2,032,518,267","1,633,625,727","1,372,283,424","539,218,056","976,377,704","936,697,940","1,147,604,640","1,134,840,000","678,760,500","284,207,000","260,478,000"
EnterpriseValue,"68,907,074,319","61,868,493,199","48,811,698,275","56,343,486,000","41,498,461,000","35,204,117,000","26,423,170,000","28,879,972,628","22,685,347,808","17,342,540,000","18,054,261,913","14,694,766,603","11,106,789,648","8,007,325,557","9,441,328,048","8,367,670,475","4,786,686,207","8,831,821,751","6,121,707,925","4,429,072,945","3,648,015,922","3,325,362,832","2,241,310,674","2,724,862,267","2,358,434,727","2,121,883,424","1,490,318,056","1,909,177,704","1,159,997,940","1,347,604,640","1,398,740,000","1,067,760,500","767,007,000","610,078,000"
PeRatio,"35.502","31.977","25.723","36.981","34.504","28.407","33.342","27.962","26.988","21.854","25.382","23.845","19.086","14.642","18.716","25.235","10.248","23.902","24.441","20.303","20.187","27.119","20.541","24.641","18.398","27.506","14.871","30.43","15.346","19.248","30","28.448","26.923",
ForwardPeRatio,"33.557","30.395","24.039","31.847","30.03","26.81","19.92","26.247","22.624","20.202","21.882","20.08","17.094","14.43","17.637","21.692",,,,,,,,,,,,,,,,,,
PegRatio,"5.692","6.034","2.666","2.175","2.943","2.897","1.482","2.139","1.746","1.597","1.952","1.437","1.931","0.846","1.008","1.277",,,,,,,,,,,,,,,,,,
PsRatio,"5.458","4.93","3.823","5.312","4.818","4.02","3.218","4.129","3.491","2.975","3.355","3.211","2.471","2.012","2.619","2.848","1.325","2.968","2.448","2.342","2.154","2.275","1.555","1.872","1.295","1.207","0.589","1.763","1.7","1.503","1.653","1.163","0.506","0.307"
PbRatio,"7.935","7.549","6.892","8.812","7.765","7.759","6.033","6.599","5.587","5.118","5.603","5.31","4.256","3.34","3.992","4.581","3.124","6.556","6.362","6.352","6.705","8.676","9.688","19.556",,,,,"2.598","3.482","4.249","3.917","1.899","1.136"
EnterprisesValueRevenueRatio,"5.489","4.928","3.867","5.18","4.826","4.28","3.222","4.119","3.609","3.114","3.377","3.184","2.588","2.032","2.656","2.967","1.479","3.098","2.477","2.45","2.384","2.683","2.11","2.469","1.735","2.1","1.622","2.159","1.494","1.721","2.019","1.768","1.676","1.247"
EnterprisesValueEBITDARatio,"22.964","20.618","16.332","22.535","21.28","18.282","13.279","17.278","15.856","13.416","14.786","14.039","11.567","9.107","11.695","14.386","6.616","14.24","12.3","11.214","11.512","13.69","10.664","11.08","8.147","10.427","7.94","10.064","6.925","8.262","10.525","9.716","11.068","7.377"
