name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019
MarketCap,"2,516,954,264","1,544,919,777","1,544,312,867","2,116,149,238","1,347,246,385","310,775,893"
EnterpriseValue,"4,036,415,264","2,966,627,777","2,876,035,867","2,449,515,238","1,405,091,385","495,741,742"
PeRatio,,,,,,"370.987"
ForwardPeRatio,"19.048","15.038","20.284",,,
PsRatio,"1.746","1.224","1.679","3.344","5.03","2.19"
PbRatio,"4.228","2.608","2.37","3.672","6.03",
EnterprisesValueRevenueRatio,"3.025","2.547","3.275","5.306","6.949","4.124"
EnterprisesValueEBITDARatio,"24.42","25.613","32.823","37.372","81.587","25.399"
