name,ttm
MarketCap,"1,093,227,219"
EnterpriseValue,"1,025,593,219"
PsRatio,"3,772.465"
EnterprisesValueRevenueRatio,"3,636.855"
EnterprisesValueEBITDARatio,"-22.106"
