name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
MarketCap,"1,933,871,893","2,219,123,867","2,448,619,719","2,237,362,116","2,017,235,450","2,302,775,166","1,691,217,646","2,066,944,401","1,536,388,745","1,033,685,463","856,991,317","816,214,253","425,798,421","241,729,683","226,587,863","126,092,781","406,107,229","405,159,846","501,379,331","478,834,564","528,474,115","472,280,908","371,999,520","304,342,917","263,450,337","287,099,603","263,499,557","248,222,686","174,997,409","130,143,788","109,406,490","98,666,120","102,068,423","66,765,509","46,134,537","51,377,332"
PeRatio,"8.737","8.787","11.712","11.171","13.457","13.12","11.983","19.294","20.917","14.443","14.399","16.347","10.525","42.35","18.458",,"19.482","12.624","16.681","16.049","17.911","17.007","12.876","13.494","12.954","16.614","17.302","17.406","13.251","13.472","12.256","11.625","13.088","9.49","7.769","9.563"
ForwardPeRatio,"9.872","10.941","8.749","11.574","15.773","12.674",,"15.244","18.349","13.514","12.821","13.908","10.267","10.881","17.301",,,,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,"2.177","2.621",,"1.604","1.739","3.421","3.629",,,,,,,,,,,,,,,,,,,,,,
PsRatio,"2.978","3.302","3.991","4.334","4.219","4.857","4.173","5.609","5.364","3.722","3.286","3.209","1.976","1.14","1.127","0.594","2.446","2.599","3.457","3.331","3.764","3.372","2.987","3.615","3.653","4.653","4.99","5.115","3.842","3.768","3.326","3.068","3.314","2.372","1.959",
PbRatio,"0.87","1.066","1.293","1.198","1.1","1.317","1.242","1.612","1.71","1.348","1.252","1.703","0.923","0.574","0.587","0.359","1.026","1.192","1.556","1.504","1.68","1.554","1.425","1.699","1.723","2.273","2.004","2.035","1.553","1.664","1.534","1.434","1.597","1.141","0.899","1.086"
