name,ttm,12/31/2022,12/31/2021,12/31/2020
MarketCap,"1,547,641,654","766,409,777","573,072,272","329,389,089"
EnterpriseValue,"1,652,576,950","851,308,740","493,960,702","445,355,806"
PeRatio,"13.338"
ForwardPeRatio,"25.126"
PsRatio,"5.784"
PbRatio,"2.49"
EnterprisesValueRevenueRatio,"12.6","7.999","8.106","22.838"
EnterprisesValueEBITDARatio,"21.158","14.247","18.055","-61.352"
