name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
MarketCap,"5,613,566,284","3,234,972,405","3,564,156,424","3,942,001,804","2,757,459,719","1,248,143,395","2,014,799,999"
EnterpriseValue,"6,256,566,284","3,372,072,405","3,612,756,424","3,993,301,804","2,983,059,719","1,332,443,395","2,000,099,999"
PeRatio,"29.543","9.989","19.61",,,"16.358","22.099"
ForwardPeRatio,"26.738","8.811","10.977","40.984","94.34","13.351","12.771"
PegRatio,"0.997","0.242","0.13",,"4.873","1.251","0.951"
PsRatio,"5.669","4.088","6.085","9.681","9.688","2.904","4.525"
PbRatio,"0.892","1.858","2.634","5.025","4.867","2.303","4.202"
EnterprisesValueRevenueRatio,"6.947","3.665","5.041","10.517","10.489","3.1","4.586"
EnterprisesValueEBITDARatio,"27.598","6.716","12.458","152.416","126.401","10.728","11.075"
