name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
MarketCap,"1,791,792,745","1,637,680,805","3,058,646,910","3,968,815,951","3,669,410,881","2,583,957,540","2,201,964,390","3,031,692,117"
EnterpriseValue,"2,565,353,745","2,391,991,805","3,801,615,910","4,540,976,951","4,321,269,881","3,471,163,540","2,727,878,390","3,926,450,117"
PeRatio,,,"53.833","27.113","754.833","294.818","29.893","225.891"
ForwardPeRatio,"36.364","47.847","34.965","35.461","47.393","40.161","30.769","59.88"
PsRatio,"0.843","0.786","1.811","2.125","2.313","1.57","1.445","2.206"
PbRatio,"2.16","1.949","3.376","4.015","4.242","3.376","2.904","11.908"
EnterprisesValueRevenueRatio,"1.206","1.125","1.896","2.184","2.524","2.013","1.775","2.855"
EnterprisesValueEBITDARatio,"47.509","44.299","22.731","16.409","24.196","22.983","23.417","32.253"
