name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
MarketCap,"1,674,149,070","1,794,480,792","1,099,514,267","1,535,513,493","2,206,542,588","2,554,396,970","1,166,695,448","843,939,806","656,876,652","685,186,007","798,574,983","1,124,726,855","503,868,411","400,841,963","300,233,736","266,470,303","150,832,855","512,885,497"
EnterpriseValue,"1,830,167,070","1,959,369,792","1,219,129,267","1,560,071,493","2,139,291,588","2,417,200,970","1,106,930,448","896,892,806","631,363,652","642,588,007","758,161,983","1,033,952,855","420,310,411","334,438,963","244,315,736","204,021,303","98,853,855","468,507,634"
PeRatio,,,,,,,,,,,,"266","107.588","82.667",,"49.286","14.375","43.6"
ForwardPeRatio,"136.986","243.902",,,,,,,,,"57.143","90.909","39.683","35.336","36.765",,,
PegRatio,,,,,,,,,,,"2.863","4.539","1.982","2.352","2.45",,,
PsRatio,"5.444","5.995","4.042","6.15","8.488","9.836","5.458","5.095","4.181","3.763","4.715","8.525","4.413","4.492","4.183","3.977","2.021","7.406"
PbRatio,"15.984",,,"85.62","17.1","16.379","18.516",,"65.948","10.211","8.324","10.757","5.683","5.737","5.046","4.841","3.447","15.224"
EnterprisesValueRevenueRatio,"6.026","6.451","4.415","6.205","8.475","9.656","5.618","5.313","4.119","3.819","4.08","7.139","3.568","3.461","3.439","2.966","1.308","7.547"
EnterprisesValueEBITDARatio,"-46.253","-49.518","-19.812","-24.634","-41.474","-58.986","-31.248","-16.601","-11.289","-14.042","-53.683","103.21","40.16","32.207","-83.498","23.586","5.64","38.437"
