name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986
MarketCap,"950,218,374","845,901,811","923,488,176","1,577,073,692","1,308,781,170","947,142,000","679,667,470","1,349,580,258","1,554,568,815","935,611,600","901,378,300","883,043,170","760,574,640","730,812,013","733,983,501","607,531,564","701,993,044","829,304,458","761,542,727","691,652,316","343,984,926","242,777,965","195,396,979","283,461,968","254,788,810","359,723,373","527,529,171","156,126,750","95,351,500","99,668,592","127,525,500","150,598,125","74,094,750","23,426,000","11,713,000","31,535,000","61,217,000","56,715,750","37,789,500"
EnterpriseValue,"967,818,374","895,401,811","908,788,176","1,404,173,692","1,197,437,170","920,671,000","678,860,470","1,286,451,258","1,508,321,815","929,005,600","885,655,300","820,358,170","679,645,640","679,075,013","735,739,501","609,287,564","695,746,480","794,667,986","750,027,727","680,137,316","373,320,590","308,425,038","298,920,277","406,444,978","362,715,810","459,323,373","569,929,171","188,926,750","124,551,500","126,868,592","145,025,500","140,898,125","97,694,750","51,926,000","69,513,000","85,535,000","97,017,000","92,515,750","71,289,500"
PeRatio,"28.422","47.962",,"37.443","101.544",,,"34.615","33.562","24.969","26.561","25.084","23.007","19.521","22.824","192.429","11.189","14.7","22.5","24.556","27.758",,,"144.6","9.033","11.832","22.074","11.796","22.093",,"9.515","14.505","12.348","40.625",,"36.458","20.238","16.406","20.192"
ForwardPeRatio,,,,,,,,"20.121","23.419","19.305","19.084","17.731","15.244","13.793","21.598",,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,,,,"5.304","1.108","0.953","0.941","1.66",,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"0.711","0.625","0.782","1.488","1.235","0.79","0.596","1.131","1.507","0.934","0.946","0.951","0.821","0.837","0.959","0.829","0.727","0.961","1.123","1.134","0.685","0.567","0.406","0.627","0.507","0.834","1.486","0.614","0.436","0.396","0.642","0.781","0.497","0.167","0.086","0.17","0.349","0.333","0.612"
PbRatio,"1.454","1.333","1.465","2.38","2.101","1.535","1.053","2.002","2.415","1.533","1.518","1.549","1.388","1.403","1.489","1.343","1.598","2.202","2.65","2.929","1.799","1.449","1.01","1.436","1.321","2.15","3.975","1.478","0.959","0.984","1.691","2.349","2.685","1.1","0.681","0.802","1.95","1.806","1.364"
EnterprisesValueRevenueRatio,"0.723","0.669","0.713","1.282","1.169","0.787","0.579","1.086","1.315","0.945","0.908","0.879","0.726","0.747","0.998","0.825","0.715","0.914","1.055","1.104","0.74","0.767","0.652","0.892","0.697","1.022","1.566","0.712","0.563","0.523","0.678","0.815","0.655","0.386","0.515","0.454","0.549","0.522","1.155"
EnterprisesValueEBITDARatio,"12.52","11.583","26.115","31.135","16.608","17.437","-11.91","15.341","13.312","11.962","11.253","10.137","8.817","8.529","10.578","20.007","5.985","7.616","10.383","11.9","10.874","-26.314","23.08","14.098","5.802","7.166","11.751","5.979","8.961","8.238","8.194","10.756","9.304","8.953","-16.954","23.76","8.82","8.566","16.579"
