name,ttm,09/30/2024,09/30/2023,09/30/2022,09/30/2021,09/30/2020
MarketCap,"16,073,367,193","16,211,490,700","16,202,194,643","11,949,660,353","21,984,850,074","14,658,215,095"
EnterpriseValue,"19,666,367,193","19,857,490,700","19,895,194,643","15,683,660,353","25,245,850,074","17,472,215,095"
PeRatio,"37.386","30.096","38.293","28.305",,
ForwardPeRatio,"22.831","21.692","23.981","20.921","43.103","41.322"
PegRatio,"1.202","1.222","2.261","0.987","1.776",
PsRatio,"2.499","2.565","2.721","2.06","4.353","3.237"
PbRatio,"31.03","33.564","57.659","76.6","271.418",
EnterprisesValueRevenueRatio,"3.06","3.112","3.345","2.705","4.998","3.917"
EnterprisesValueEBITDARatio,"18.059","15.988","18.858","14.74","31.557","-296.139"
