name,ttm,12/31/2023
MarketCap,"1,825,348,859","1,349,358,613"
EnterpriseValue,"1,838,731,859","1,424,298,613"
PeRatio,"13.92","19.373"
ForwardPeRatio,"13.661",
PegRatio,"0.759",
PsRatio,"1.706","1.528"
PbRatio,"2.289","2.523"
EnterprisesValueRevenueRatio,"1.684","1.705"
