name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
MarketCap,"5,080,699,086","4,697,683,906","2,114,996,832","1,866,169,720","2,636,684,023"
EnterpriseValue,"3,315,688,086","3,947,336,906","1,525,183,832","1,289,300,720","2,203,922,023"
PsRatio,"301.44","109.698","61.966","62.266","56.688"
PbRatio,"2.782","5.609","3.16","2.924","5.22"
EnterprisesValueRevenueRatio,"286.329","340.875","43.109","43.869","51.274"
EnterprisesValueEBITDARatio,"-7.706","-9.174","-6.369","-7.173","-21.625"
