name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
MarketCap,"3,529,036,234","3,533,532,066","4,187,551,262","4,161,400,763","4,081,610,092","4,937,852,553","4,184,166,199","3,829,577,342","3,341,607,661","2,621,845,268","2,146,896,667"
EnterpriseValue,"6,559,516,234","6,514,316,066","7,279,650,262","8,174,070,763","5,965,619,092","6,606,227,553","5,641,624,199","5,189,757,342","4,570,349,661","3,770,184,268","3,288,530,667"
PeRatio,"15.075","15.541","19.025","20.365","21.625","27.602","24.121","24.502","24.695","22.909","20.728"
ForwardPeRatio,,,,"18.975","20.04","25.84","23.256","23.202","22.422",,"19.157"
PsRatio,"1.47","1.37","1.743","2.448","2.73","2.992","2.584","2.557","2.464","1.598","1.174"
PbRatio,"1.276","1.361","1.713","1.798","1.855","2.349","2.075","1.984","1.796","1.448","1.212"
EnterprisesValueRevenueRatio,"2.765","2.746","2.824","4.52","3.898","3.997","3.453","3.371","3.202","2.436","1.808"
EnterprisesValueEBITDARatio,"9.836","9.768","12.677","15.894","12.043","13.976","12.905","11.429","11.069","10.201","9.404"
