name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
MarketCap,"6,759,022,246","6,583,548,476","5,916,282,949","7,853,888,000","8,416,200,000","9,563,112,000","9,406,702,000","7,900,263,615","6,001,865,376","5,852,250,000","7,701,624,000","6,871,098,000","9,794,210,000","5,156,042,832","1,863,961,440","645,505,880","320,498,256"
PeRatio,"194.5","20.438",,"5.633",,,"5.533","4.949","45.325",,,"3.147","6.93","3.949","3.643","3.914","9.051"
ForwardPeRatio,"4.482","4.439","4.167","5.353","6.435","7.949","7.278","8.857","8.006","7.587","7.386","5.537","7.502","5.675","5.828",,"4.468"
PegRatio,,,,,,,,,,,"3.169","2.376","3.219","2.523","1.665",,"0.61"
PsRatio,"24.006","15.054",,"4.888",,,"5.113","4.712","26.028",,"488.89","3.212","6.618","4.246","8.044","3.572","7.794"
PbRatio,"1.021","1.171","1.064","0.855","0.912","1.006","1.029","0.951","0.79","0.733","0.854","0.707","0.913","1.274","1.186","1.18","1.242"
